id,OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET,Lat,Long,Image_Id
124,Towed,10/3/2018 10:49,WESTMINSTER AVE,42.316098,-71.095249,5cae691a579dc84342e094d4
125,Drug Violation,10/3/2018 12:27,BOYLSTON ST,42.352418,-71.065255,5cae691a579dc84342e095c3
126,Fire Related Reports,10/3/2018 14:09,WASHINGTON ST,42.300226,-71.074683,5cae691a579dc84342e09534
127,Fire Related Reports,10/3/2018 14:09,WASHINGTON ST,42.300226,-71.074683,5cae691a579dc84342e09534
128,Larceny From Motor Vehicle,10/3/2018 14:07,HARRISON AVE,42.345691,-71.063365,5cae691a579dc84342e094d4
129,Larceny From Motor Vehicle,10/3/2018 11:30,DORCHESTER AVE,42.311685,-71.057503,5cae691a579dc84342e09556
130,Fraud,9/22/2018 0:00,CONGRESS ST,42.361394,-71.057687,5cae691a579dc84342e094d4
131,Property Lost,10/1/2018 12:45,TREMONT ST,42.356375,-71.062135,5cae691a579dc84342e094f0
132,Drug Violation,10/3/2018 13:45,SHETLAND ST,42.326098,-71.067558,5cae691a579dc84342e094d4
133,Vandalism,10/3/2018 13:45,GURNEY ST,42.332013,-71.09599,5cae691a579dc84342e094d4
134,Drug Violation,10/3/2018 13:22,CATBIRD CT,42.288137,-71.094757,5cae691a579dc84342e094d4
135,Investigate Person,10/3/2018 13:44,HUMBOLDT AVE,42.315211,-71.087836,5cae691a579dc84342e09549
136,Vandalism,10/3/2018 13:42,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
137,Larceny,10/3/2018 13:38,BLUE HILL AVE,42.274701,-71.093441,5cae691a579dc84342e0955a
138,Investigate Property,10/3/2018 12:19,STILLMAN PL,42.364173,-71.057799,5cae691a579dc84342e094d4
139,Larceny,10/3/2018 12:46,SEAPORT BLVD,42.353254,-71.048724,5cae691a579dc84342e094d4
140,HOME INVASION,10/3/2018 13:06,STELLA RD,42.281047,-71.11699,5cae691a579dc84342e094d4
141,Towed,10/3/2018 11:13,EASTMAN ST,42.31986,-71.064341,5cae691a579dc84342e094d4
142,Property Lost,4/30/2018 13:26,NASHUA ST,42.366008,-71.064035,5cae691a579dc84342e094d4
143,Vandalism,10/3/2018 12:28,BOWDOIN ST,42.300308,-71.072064,5cae691a579dc84342e094d4
144,Vandalism,10/3/2018 7:40,NEPONSET AVE,42.293836,-71.051574,5cae691a579dc84342e094d4
145,Vandalism,10/2/2018 21:00,LINCOLN ST,42.299791,-71.059544,5cae691a579dc84342e0955e
146,Vandalism,10/3/2018 5:30,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
147,Investigate Person,10/3/2018 12:57,BALFOUR ST,42.314661,-71.076231,5cae691a579dc84342e094d4
148,Vandalism,10/3/2018 5:30,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
149,Investigate Person,10/3/2018 12:44,MERIDIAN ST,42.38229,-71.039301,5cae691a579dc84342e094d4
150,Property Lost,10/3/2018 12:43,HARRISON AVE,42.344967,-71.063822,5cae691a579dc84342e094d4
151,Motor Vehicle Accident Response,10/3/2018 9:55,HYDE PARK AVE,42.254893,-71.124282,5cae691a579dc84342e094d4
152,Larceny From Motor Vehicle,10/2/2018 16:30,TRAVELER ST,42.344733,-71.064665,5cae691a579dc84342e094d4
153,Motor Vehicle Accident Response,10/2/2018 17:13,DORCHESTER AVE,42.281872,-71.065383,5cae691a579dc84342e09556
154,Larceny,10/3/2018 11:30,BULFINCH PL,42.361526,-71.061338,5cae691a579dc84342e094d4
155,Larceny From Motor Vehicle,10/2/2018 18:15,S HUNTINGTON AVE,42.326398,-71.111526,5cae691a579dc84342e094d4
156,Investigate Person,10/3/2018 11:27,COMMONWEALTH AVE,42.349378,-71.13249,5cae691a579dc84342e094d4
157,Vandalism,10/2/2018 19:30,CHELSEA ST,42.372848,-71.035356,5cae691a579dc84342e095a8
158,Harassment,10/3/2018 12:28,HARRISON AVE,42.339542,-71.069409,5cae691a579dc84342e094d4
159,Motor Vehicle Accident Response,10/3/2018 11:58,COMMONWEALTH AVE,42.348886,-71.140074,5cae691a579dc84342e094d4
160,Verbal Disputes,10/3/2018 11:42,CARSON ST,42.319757,-71.054289,5cae691a579dc84342e094d4
161,Vandalism,10/3/2018 5:30,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
162,Motor Vehicle Accident Response,10/1/2018 22:45,MINOT ST,42.286278,-71.044862,5cae691a579dc84342e094d4
163,Investigate Person,10/3/2018 11:16,KENSINGTON ST,42.320627,-71.091089,5cae691a579dc84342e094d4
164,Other,10/3/2018 12:12,WASHINGTON ST,42.328663,-71.085634,5cae691a579dc84342e09534
165,Disorderly Conduct,10/1/2018 8:40,PEACEVALE RD,42.287167,-71.076335,5cae691a579dc84342e09500
166,Motor Vehicle Accident Response,10/3/2018 11:50,WASHINGTON ST,42.351743,-71.062759,5cae691a579dc84342e09534
167,Other,10/3/2018 11:34,BOYLSTON ST,42.352312,-71.063705,5cae691a579dc84342e095c3
168,Vandalism,10/3/2018 5:30,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
169,Towed,10/3/2018 9:41,LAWN ST,42.327574,-71.107388,5cae691a579dc84342e094d4
170,Landlord/Tenant Disputes,10/3/2018 11:44,AMERICAN LEGION HWY,42.29795,-71.087744,5cae691a579dc84342e094d4
171,Verbal Disputes,10/3/2018 10:50,W TREMLETT ST,42.293974,-71.074709,5cae691a579dc84342e094d4
172,Disorderly Conduct,10/3/2018 10:52,BELLFLOWER ST,42.324451,-71.058107,5cae691a579dc84342e094d4
173,Other,10/3/2018 11:39,TREMONT ST,42.334025,-71.09039,5cae691a579dc84342e094f0
174,Drug Violation,10/3/2018 10:50,D ST,42.337943,-71.051841,5cae691a579dc84342e094d4
175,Investigate Person,10/3/2018 10:30,W BROADWAY,42.340606,-71.053627,5cae691a579dc84342e094d4
176,Drug Violation,10/3/2018 11:21,ALBANY ST,42.334288,-71.072395,5cae691a579dc84342e094d6
177,Other,10/3/2018 10:45,HUNTINGTON AVE,42.348577,-71.07772,5cae691a579dc84342e094d4
178,Larceny From Motor Vehicle,10/2/2018 20:00,BELDEN SQ,42.317751,-71.064974,5cae691a579dc84342e094d4
179,Vandalism,10/2/2018 20:00,BELDEN SQ,42.317751,-71.064974,5cae691a579dc84342e094d4
180,Larceny From Motor Vehicle,10/2/2018 20:00,BELDEN SQ,42.317751,-71.064974,5cae691a579dc84342e094d4
181,Firearm Violations,10/3/2018 10:41,BICKFORD ST,42.324833,-71.101648,5cae691a579dc84342e094d4
182,Drug Violation,10/3/2018 10:41,BICKFORD ST,42.324833,-71.101648,5cae691a579dc84342e094d4
183,Drug Violation,10/3/2018 10:41,BICKFORD ST,42.324833,-71.101648,5cae691a579dc84342e094d4
184,Other,10/3/2018 11:08,HUMBOLDT AVE,42.310249,-71.091839,5cae691a579dc84342e09549
185,Warrant Arrests,10/3/2018 10:23,NEPONSET AVE,42.247981,-71.118304,5cae691a579dc84342e094d4
186,Vandalism,10/3/2018 9:10,SPEEDWELL ST,42.304067,-71.0676,5cae691a579dc84342e094d4
187,Verbal Disputes,10/3/2018 10:43,HAMILTON ST,42.305008,-71.066064,5cae691a579dc84342e094d4
188,Investigate Person,10/2/2018 0:00,BLUE HILL AVE,42.307517,-71.083975,5cae691a579dc84342e0955a
189,Larceny,10/3/2018 10:39,MASSACHUSETTS AVE,42.325538,-71.065796,5cae691a579dc84342e094d2
190,Medical Assistance,10/3/2018 10:15,MARTIN LUTHER KING JR BLV,42.318472,-71.084093,5cae691a579dc84342e094fe
191,Towed,10/3/2018 9:32,HEMENWAY ST,42.345872,-71.089389,5cae691a579dc84342e095b9
192,Vandalism,10/2/2018 20:00,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
193,Fraud,8/6/2018 10:19,BOYLSTON ST,42.34902,-71.081301,5cae691a579dc84342e095c3
194,Warrant Arrests,10/3/2018 9:47,RIDGEWOOD ST,42.302094,-71.065752,5cae691a579dc84342e094d4
195,Other,10/3/2018 10:12,GLENMONT RD,42.34589,-71.160233,5cae691a579dc84342e094d4
196,Motor Vehicle Accident Response,10/3/2018 9:30,SOUTHERN AVE,42.290958,-71.071685,5cae691a579dc84342e094d4
197,Fire Related Reports,10/3/2018 9:56,CHELSEA ST,42.377573,-71.029855,5cae691a579dc84342e095a8
198,Motor Vehicle Accident Response,10/3/2018 9:10,COLUMBIA RD,42.329718,-71.03725,5cae691a579dc84342e094ee
199,Aggravated Assault,10/3/2018 9:15,WARREN AVE,42.344539,-71.073588,5cae691a579dc84342e094d4
201,Larceny From Motor Vehicle,10/2/2018 13:00,CLEVELAND ST,42.325829,-71.080551,5cae691a579dc84342e094d4
202,Investigate Person,10/3/2018 9:21,HUMBOLDT AVE,42.318415,-71.086179,5cae691a579dc84342e09549
203,Simple Assault,10/3/2018 9:00,RUTHVEN ST,42.313546,-71.09179,5cae691a579dc84342e094d4
204,Missing Person Reported,10/3/2018 9:00,RUTHVEN ST,42.313546,-71.09179,5cae691a579dc84342e094d4
205,Simple Assault,10/3/2018 9:00,RUTHVEN ST,42.313546,-71.09179,5cae691a579dc84342e094d4
206,Verbal Disputes,10/3/2018 9:00,RUTHVEN ST,42.313546,-71.09179,5cae691a579dc84342e094d4
207,Motor Vehicle Accident Response,10/3/2018 8:30,BOSTON ST,42.320483,-71.061514,5cae691a579dc84342e094d4
208,Aggravated Assault,10/3/2018 8:20,ADRIAN ST,42.317811,-71.077597,5cae691a579dc84342e094d4
209,Vandalism,10/3/2018 0:00,BOWDOIN ST,42.304319,-71.069622,5cae691a579dc84342e094d4
210,Vandalism,10/2/2018 20:00,BOWDOIN ST,42.304659,-71.069126,5cae691a579dc84342e094d4
211,Other,10/1/2018 14:00,COMMONWEALTH AVE,42.349066,-71.134147,5cae691a579dc84342e094d4
212,Vandalism,10/3/2018 9:19,BOWDOIN ST,42.304659,-71.069126,5cae691a579dc84342e094d4
213,Vandalism,10/3/2018 6:44,BOWDOIN ST,42.304659,-71.069126,5cae691a579dc84342e094d4
214,Larceny From Motor Vehicle,10/1/2018 8:00,RIVER ST,42.26633,-71.097464,5cae691a579dc84342e0954d
215,Warrant Arrests,10/3/2018 8:50,DORCHESTER AVE,42.305142,-71.058981,5cae691a579dc84342e09556
216,Vandalism,10/3/2018 7:49,HARRISON AVE,42.33556,-71.074364,5cae691a579dc84342e094d4
217,Larceny From Motor Vehicle,10/3/2018 8:28,NORWELL ST,42.300278,-71.07884,5cae691a579dc84342e094d4
218,Harassment,10/2/2018 6:00,JETTE CT,42.346828,-71.143191,5cae691a579dc84342e0959e
219,Vandalism,10/2/2018 10:30,INTERVALE ST,42.309421,-71.0746,5cae691a579dc84342e094d4
220,Vandalism,9/27/2018 12:00,WASHINGTON ST,42.266436,-71.151554,5cae691a579dc84342e09534
221,Motor Vehicle Accident Response,10/3/2018 7:26,PORTER ST,42.374657,-71.038228,5cae691a579dc84342e094d4
222,Larceny From Motor Vehicle,10/3/2018 7:53,RIVER ST,42.266813,-71.09567,5cae691a579dc84342e0954d
223,Medical Assistance,10/3/2018 8:00,DORCHESTER ST,42.332227,-71.051992,5cae691a579dc84342e094d4
224,Property Found,10/2/2018 20:00,BUSINESS ST,42.255363,-71.12585,5cae691a579dc84342e094d4
225,Larceny From Motor Vehicle,10/2/2018 7:30,WALLINGFORD RD,42.342523,-71.151249,5cae691a579dc84342e094d4
226,Vandalism,10/2/2018 7:30,WALLINGFORD RD,42.342523,-71.151249,5cae691a579dc84342e094d4
227,Harassment,10/3/2018 8:00,MALCOLM X BLVD,42.330567,-71.088068,5cae691a579dc84342e09571
228,Towed,9/30/2018 9:30,GLADE AVE,42.308337,-71.100369,5cae691a579dc84342e094d4
229,Property Lost,10/3/2018 4:37,SOUTHAMPTON ST,42.332337,-71.071296,5cae691a579dc84342e09583
230,Aggravated Assault,10/3/2018 7:18,BLUE HILL AVE,42.308898,-71.083052,5cae691a579dc84342e0955a
231,Other,10/3/2018 7:18,BLUE HILL AVE,42.308898,-71.083052,5cae691a579dc84342e0955a
232,Verbal Disputes,10/3/2018 7:10,FENTON ST,42.303388,-71.056962,5cae691a579dc84342e094d4
233,Motor Vehicle Accident Response,10/3/2018 7:01,BLUE HILL AVE,42.27298,-71.093706,5cae691a579dc84342e0955a
234,Property Lost,10/3/2018 7:08,STATE ST,42.359556,-71.05228,5cae691a579dc84342e094d4
235,Vandalism,10/3/2018 5:49,TOPLIFF ST,42.304435,-71.068629,5cae691a579dc84342e094d4
236,Aggravated Assault,10/3/2018 4:31,SOUTHAMPTON ST,42.332337,-71.071296,5cae691a579dc84342e09583
237,Larceny From Motor Vehicle,10/3/2018 4:20,FREMONT ST,42.270947,-71.091936,5cae691a579dc84342e094d4
238,Verbal Disputes,10/2/2018 23:30,SAVIN ST,42.31719,-71.081673,5cae691a579dc84342e094d4
239,Aggravated Assault,10/3/2018 3:13,BLUE HILL AVE,42.31803,-71.077875,5cae691a579dc84342e0955a
240,Larceny,10/2/2018 22:30,ATHERSTONE ST,42.283359,-71.0686,5cae691a579dc84342e094d4
241,Auto Theft,10/2/2018 22:30,ATHERSTONE ST,42.283359,-71.0686,5cae691a579dc84342e094d4
242,Aggravated Assault,10/3/2018 2:04,HUNTINGTON AVE,42.340916,-71.087715,5cae691a579dc84342e094d4
243,Vandalism,10/3/2018 2:04,HUNTINGTON AVE,42.340916,-71.087715,5cae691a579dc84342e094d4
244,Other,10/3/2018 1:45,ATLANTIC AVE,42.352183,-71.055679,5cae691a579dc84342e0956e
245,Other,10/3/2018 1:16,WYOMING ST,42.315085,-71.085088,5cae691a579dc84342e094d4
246,Verbal Disputes,10/3/2018 0:08,DAKOTA ST,42.299385,-71.069789,5cae691a579dc84342e094d4
